-58.937, -0.258, 94.401
-58.682, 1.725, 94.401
-58.428, 3.709, 94.401
-58.063, 5.674, 93.472
-57.653, 7.632, 93.472
-57.147, 9.565, 92.537
-56.572, 11.48, 92.537
-55.896, 13.361, 91.681
-55.148, 15.215, 91.681
-54.277, 17.013, 90.999
-53.353, 18.787, 90.999
-52.273, 20.469, 90.579
-51.146, 22.12, 90.476
-49.886, 23.673, 90.476
-48.549, 25.157, 90.693
-47.141, 26.577, 90.693
-45.619, 27.873, 91.184
-44.052, 29.114, 91.872
-42.405, 30.248, 91.872
-40.701, 31.292, 92.673
-38.963, 32.282, 93.512
-37.157, 33.14, 93.512
-35.33, 33.952, 94.336
-33.469, 34.685, 94.336
-31.579, 35.337, 95.111
-29.677, 35.954, 95.821
-27.745, 36.474, 95.821
-25.807, 36.964, 96.463
-23.854, 37.395, 96.463
-21.892, 37.78, 97.039
-19.923, 38.133, 97.039
-17.946, 38.432, 97.558
-15.966, 38.716, 98.031
-13.98, 38.95, 98.031
-11.992, 39.17, 98.468
-10.001, 39.359, 98.468
-8.009, 39.531, 98.882
-6.014, 39.685, 98.882
-4.019, 39.822, 99.285
-2.023, 39.95, 99.285
-0.027, 40.064, 99.689
1.97, 40.176, 99.89
3.968, 40.281, 99.89
5.965, 40.388, 99.436
7.962, 40.496, 99.436
9.958, 40.612, 98.929
11.955, 40.732, 98.929
13.95, 40.874, 98.343
15.944, 41.027, 97.646
17.936, 41.205, 97.646
19.925, 41.413, 96.798
21.911, 41.644, 95.746
23.891, 41.932, 95.746
25.862, 42.265, 94.423
27.826, 42.645, 91.32
29.771, 43.109, 86.601
31.692, 43.664, 81.611
33.583, 44.311, 76.298
35.432, 45.069, 70.586
37.219, 45.968, 64.364
38.899, 47.052, 57.474
40.451, 48.31, 49.646
41.833, 49.749, 40.336
43.009, 51.36, 28.102
43.945, 52.992, 0
43.945, 52.992, 0
53.892, 70.343, 0
endData
209.9
100
200
-58.937, -0.258, -53.25, 61.781, 31.278, 25.591, 43.945, 52.992
#PATH.JERRYIO-DATA {"appVersion":"0.8.3","format":"LemLib v0.5","gc":{"robotWidth":17,"robotHeight":17,"robotIsHolonomic":false,"showRobot":true,"uol":2.54,"pointDensity":2,"controlMagnetDistance":0.7750015500031,"fieldImage":{"displayName":"V5RC 2025 - High Stakes","signature":"V5RC 2025 - High Stakes","origin":{"__type":"built-in"}},"coordinateSystem":"VEX Gaming Positioning System"},"paths":[{"segments":[{"controls":[{"uid":"DoD6xF2ayM","x":-58.93742819514108,"y":-0.2584974920839521,"lock":false,"visible":true,"heading":0,"__type":"end-point"},{"uid":"S8OlIKU8nW","x":-53.25048336929414,"y":61.780900608064556,"lock":false,"visible":true,"__type":"control"},{"uid":"xWrW2UmEyI","x":31.278196542158206,"y":25.59125171631126,"lock":false,"visible":true,"__type":"control"},{"uid":"MtQ4Pw6e72","x":43.94457365427186,"y":52.99198587721018,"lock":false,"visible":true,"heading":0,"__type":"end-point"}],"speedProfiles":[],"lookaheadKeyframes":[],"uid":"dQ2tcK6OUR"}],"pc":{"speedLimit":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":127,"label":"127"},"step":1,"from":20,"to":100},"bentRateApplicableRange":{"minLimit":{"value":0,"label":"0"},"maxLimit":{"value":1,"label":"1"},"step":0.001,"from":0,"to":0.1},"maxDecelerationRate":209.9},"name":"Path","uid":"XPpO96nwPH","lock":false,"visible":true}]}
